file,distance(avg),distance(std),distance(min),time(avg),time(std),time(max)
c103_21.txt,1774.15873890088,32.3142455212122,1718.32523124532,10.9335615474993,0.446961045793733,12.0448371160019
c105_21.txt,1688.30942007033,22.7173627181569,1625.80547261169,10.5594680144044,0.665352205958448,12.3801968240005
c204_21.txt,1078.89140373876,29.9883212915014,1039.56971600759,16.8324633403972,1.29381915927794,19.6498314400087
r102_21.txt,2460.20109075999,34.2786699422095,2400.28722055251,18.3611217024998,0.404469181844413,18.9789647049911
r107_21.txt,1938.74560146783,20.1375904660371,1904.26413408874,13.4868004980061,0.255568401951487,13.9978880579874
r205_21.txt,1207.77260871069,29.3685329248645,1177.17091197008,6.38756619809428,0.509600990025021,7.3804431980243
r211_21.txt,992.797212126214,44.3470462867087,934.630358627776,9.19286269780132,1.58523409983196,12.2152380819898
rc101_21.txt,2854.00304406571,16.1395877686647,2826.43352014333,17.7858605041023,0.453117481479745,18.481046254019
rc106_21.txt,2369.40462276327,17.964321256765,2343.86525528368,14.4135597423941,0.311038609891403,15.0367398709932
rc203_21.txt,1276.28945538485,57.4858711581953,1178.83051953199,6.26236754250131,0.89303298617622,7.71648764799465
